model,brand,url_pdp,url_image_product,url_image_ecorating,ecorating_index,reparability_index,reparability_index_doc,Site,recyclability,resources,reparability,climate,durability
8062,Doro,https://boutique.orange.fr/mobile/details/doro-8062-blanc,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-178415_61f8df5230ee0236ac664eda_606b2c6a125370680d3c0752.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24606936-doro-8062-32-note-ecorating_original.png,57,5.2,https://cdn.woopic.com/v1/AUTH_c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/874375_22652022_1_doro_8062_calcul_indice_reparabilite.pdf,Orange,13,44,42,64,33
1 2021,Alcatel,https://boutique.orange.fr/mobile/details/alcatel-1-2021-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-alcatel-1-2021-img1_61f8df5230ee0236ac664ce8.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23790009-tcl-alcatel-1-2021-note-ecorating_original.png,82,5.9,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/895370_23226901_1_alcatel_1_calcul_indice_de_reparabilite.pdf,Orange,60,92,68,63,30
10 Pro 5G,Oneplus,https://boutique.orange.fr/mobile/details/oneplus-10-pro-5g-noir-128go,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Negroni_black_name_render-img1_623c447e5223da5b93b0f2ca.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24983583-oneplus-10-pro-5g-128-note-ecorating_original.png,68,7.8,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/922019_24902598_1_oneplus_10_pro_calcul_indice_reparabilite.pdf,Orange,69,88,64,24,58
12 Pro 5G,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-12-pro-5g-bleu,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2Fxiaomi_12_pro_5g_bleu_02_621f98823ed5890f45263c7a_621f982e80be3c25504c2f9d.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24606987-xiaomi-12-pro-256-note-ecorating_original.png,66,7.9,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/924127_24984983_2_xiaomi_12_pro_5g_calcul_indice_reparabilite.pdf,Orange,45,88,44,20,51
4 5G,Fairphone,https://boutique.orange.fr/mobile/details/fairphone-4-5g-gris-128go,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-gris-214273_61f8df5230ee0236ac6645cf_6155d352b7ab041f72947009.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23789807-fairphone-4-128-note-ecorating_original.png,85,9.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/898947_23325003_1_fairphone_4_128go_calcul_indice_de_reparabilite.pdf,Orange,91,89,100,74,76
A54 5G,Oppo,https://boutique.orange.fr/mobile/details/oppo-a54-5g-noir,"https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2Foppo-A54-black-00_620515d233b8a35c2a0828a5_607987767ca2014bcff4ec4e.jpg?crop=2120,3000,347,0&format=504x504&saveas=jpg&saveasquality=85",https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23768727-oppo-a54-5g-note-ecorating_original.png,76,6.8,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/877602_22731326_1_oppo_a54_5g_calcul_indice_reparabilite.pdf,Orange,60,85,57,54,49
Find X3 Pro 5G,Oppo,https://boutique.orange.fr/mobile/details/oppo-find-x3-pro-5g-excellent-etat,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-205592_61f8df5230ee0236ac664b71_62dfe383d566d649dcb3b21c.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23768840-oppo-find-x3-pro-note-ecorating_original.png,70,6.9,https://cdn.woopic.com/v1/AUTH_c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/874524_22656384_1_oppo_find_x3_pro_calcul_indice_reparabilite.pdf,Orange,56,87,54,32,63
Find X5 5G,Oppo,https://boutique.orange.fr/mobile/details/oppo-find-x5-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2FFind_X5_Black_6227677c80be3c25504c4072_621ec19d80be3c25504c2859.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24602734-oppo-find-x5-256-note-ecorating_original.png,73,8.1,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/913564_24598689_1_oppo_find_x5_calcul_indice_reparabilite.pdf,Orange,63,89,69,39,69
Galaxy A13,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-a13-noir-v2,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Car_1_Galaxy_A13_Noir_Front_Back-img1_62c2be674572f4720c2e2c14.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24983661-samsung-galaxy-a13-5g-64-note-ecorating_original.png,77,8.3,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/923146_24941485_1_samsung_galaxy_a13_5g_calcul_indice_de_reparabilite.pdf,Orange,78,72,63,78,59
Galaxy A13 5G,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-a13-5g-64go-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2FA135GV1_62fcc1d056155f1133c8f938.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24983661-samsung-galaxy-a13-5g-64-note-ecorating_original.png,77,8.3,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/923146_24941485_1_samsung_galaxy_a13_5g_calcul_indice_de_reparabilite.pdf,Orange,78,72,63,78,59
Galaxy A52S 5G,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-a52s-5g-noir-128go,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-samsung-galaxy-a52s-noir-vue-1-213129_61f8df5230ee0236ac6647f6_613722c4c74dc144f04a7d9b.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23790326-samsung-a52s-128-note-ecorating_original.png,84,8.2,https://cdn.woopic.com/v1/AUTH_c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/893255_23152835_1_samsung_galaxy_a52s_calcul_indice_reparabilite.pdf,Orange,78,85,63,80,67
Galaxy A53 5G,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-a53-5g-bleu,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Galaxy_A53_bleu%252520vue%252520de%252520face-img1_6231f9552bdafa29d7a95e61.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24607250-samsung-galaxy-a53-5g-128-note-ecorating_original.png,77,8.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/913635_24602499_1_samsung_galaxy_a53_calcul_indice_de_reparabilite.pdf,Orange,78,78,66,69,67
Galaxy S20 FE 5G,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-s20-fe-5g-bleu,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-184658_61f8df5230ee0236ac66483b_606b2c6a125370680d3c090e.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24983572-samsung-galaxy-s20-fe-5g-128-note-ecorating_original.png,77,8.1,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/873645_22627032_2_samsung_s20_fe_5g_grille_calcul_indice_reparabilite.pdf,Orange,67,77,70,72,80
Galaxy S22,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-s22-128go-lavande,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-S22-front-black_620533d03ec8bd4f98f2e9de_61fab14533b8a35c2a07eb79LAVANDE_62f64b0301a2d43c33b068b9.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24582221-samsung-galaxy-s22-128-note-ecorating_original.png,79,8.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/911670_24515509_1_samsung_galaxy_s22_calcul_indice_reparabilite.pdf,Orange,78,79,66,73,67
Galaxy S22 Ultra,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-s22-ultra-vert-128go,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-S22U-front-green_620538d63ec8bd4f98f2e9e1_6200e0a82473e36aee9d4726.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24582243-samsung-galaxy-s22-ultra-128-note-ecorating_original.png,77,8.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/911662_24515240_1_samsung_galaxy_s22_ultra_calcul_indice_reparabilite.pdf,Orange,78,77,66,70,67
Galaxy S22+,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-s22-plus-blanc-128go,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-S22plus-front-white_620536ec2473e36aee9d6041_6200ecdd3ec8bd4f98f2c6d9.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24582232-samsung-galaxy-s22-plus-128-note-ecorating_original.png,78,8.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/911671_24515516_1_samsung_galaxy_s22_plus_calcul_indice_reparabilite.pdf,Orange,78,77,66,73,67
Galaxy Z Flip3 5G,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-z-flip3-5g-128go-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-samsung-galaxy-Z-flip3-noir-img1_61f8df5230ee0236ac664b10_6113ea6403d8176a395d7892.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23772709-samsung-z-flip3-128-note-ecorating_original.png,78,7.6,https://cdn.woopic.com/v1/AUTH_c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/892990_23145622_1_galaxy_z_flip_3_128go_calcul_indice_reparabilite.pdf,Orange,78,75,63,80,63
Galaxy Z Fold3 5G,Samsung,https://boutique.orange.fr/mobile/details/samsung-galaxy-z-fold3-5g-vert-256go,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-galaxy-z-fold3-vert-vue-1-212359_61f8df5230ee0236ac6647e2_6113ea6403d8176a395d788f.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24358145-samsung-z-fold-3-256-note-ecorating_original.png,74,7.8,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/893007_23145861_2_galaxy_z_fold_3_calcul_indice_reparabilite.pdf,Orange,78,74,63,68,63
Magic4 Lite Noir 5G,Honor,https://boutique.orange.fr/mobile/details/honor-magic4-lite-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Honor_Magic_4_Lite_noir_vue_de_face-img1_6270e4d486900d1d3a9bbaa3.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24878462-honor-magic4-lite-128-note-ecorating_original.png,82,7.8,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/919930_24840565_2_honor_magic4_lite_calcul_indice_reparabilite.pdf,Orange,62,88,64,68,48
Magic4 Pro 5G,Honor,https://boutique.orange.fr/mobile/details/honor-magic4-pro-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Honor_Magic_4_Pro_noir-img1_62ebd2df01a2d43c33b06765.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24871866-honor-magic-4-pro-256-note-ecorating_original.png,81,8.0,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/920536_24858701_1_honor_magic4_pro_calcul_indice_reparabilite.pdf,Orange,62,90,67,61,68
Mi 11 Lite 5G,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-mi-11-lite-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-208108_61f8df5230ee0236ac66453f.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23773145-xiaomi-mi-11-lite-note-ecorating_original.png,75,7.3,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/883147_22859365_1_xiaomi_mi_11_lite_calcul_indice_de_reparabilite.pdf,Orange,33,85,47,53,51
Mi 11i 5G,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-mi-11i-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-208269_61f8df5230ee0236ac66454b_609a312b29a549674ea6a219.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23790391-xiaomi-mi-11i-256-note-ecorating_original.png,72,7.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/883151_22859397_1_xiaomi_mi_11i_calcul_indice_de_reparabilite.pdf,Orange,47,91,56,32,46
Redmi Note 10 5G,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-redmi-note-10-5g-gris,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-208361_61f8df5230ee0236ac664ae5_615acc17b151253620db69ee.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24801025-xiaomi-redmi-note-10-128-note-ecorating_original.png,79,7.3,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/883152_22859404_1_xiaomi_redmi_note_10_calcul_indice_de_reparabilite.pdf,Orange,43,94,50,49,57
Redmi Note 10 pro,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-redmi-note-10-pro-gris,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-205839_61f8df5230ee0236ac664ea7_607987767ca2014bcff4ec48.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23790053-xiaomi-redmi-note-10-pro-128-note-ecorating_original.png,83,7.2,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/876484_22704259_1_xiaomi_redmi_note_10_pro_calcul_indice_reparabilite.pdf,Orange,47,90,53,66,41
Redmi Note 11,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-redmi-note-11-bleu,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2FRedmi_Note_11_Visuel_Bleu_02_62024090e92ea445210b4939_62023fb4e92ea445210b4934.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24800855-xiaomi-redmi-note-11-128-note-ecorating_original.png,83,7.8,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/907466_24335950_1_xiaomi_redmi_note_11_indice_reparabilite.pdf,Orange,55,94,50,60,51
Redmi Note 11S 5G,Xiaomi,https://boutique.orange.fr/mobile/details/xiaomi-redmi-note-11s-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Redmi_Note_11S_5G_Visuels_Noir-img1_627a1c187fc66106ede5664f.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24995935-xiaomi-redmi-note-11s-5g-128-note-ecorating_original.png,63,7.3,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/921835_24893106_1_xiaomi_redmi_note_11s_5g_calcul_indice_reparabilite.pdf,Orange,51,61,50,55,51
Reno6 5G,Oppo,https://boutique.orange.fr/mobile/details/oppo-reno6-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-vue-1-213231_61f8df5230ee0236ac6645ea_61394e8bc74dc144f04a8d67.png?format=504x504&saveas=png&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/23769104-oppo-reno-6-5g-note-ecorating_original.png,78,8.5,https://cdn.woopic.com/v1/AUTH_c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/893576_23162255_1_oppo_reno_6_calcul_indice_reparabilite.pdf,Orange,52,89,57,54,53
X7,Honor,https://boutique.orange.fr/mobile/details/honor-x7-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-HONOR_X7_noir-_face-img1_6278e27d961a53726c4e3689.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/24983650-honor-x7-128-note-ecorating_original.png,81,8.1,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/920537_24858708_1_honor_x7_calcul_indice_reparabilite.pdf,Orange,62,87,64,67,48
Xperia 5 III 5G,Sony,https://boutique.orange.fr/mobile/details/sony-xperia-5-3-5g-noir,https://proxymedia.woopic.com/api/v1/images/1618%2Fedithor%2Fterminaux%2F636x900-Sony_XPERIA_5_III-img3_62b1e83cc65e1c3834564d06.jpg?format=504x504&saveas=jpg&saveasquality=85,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/images/25008885-sony-xperia-5-3-5g-128-note-ecorating_original.png,68,5.8,https://cdn.woopic.com/c10f167280f2414abb346a5347e1ecd9/prod/binaries/files/896183_23259008_1_sony_xperia_5_3th_calcul_indice_de_reparabilite.pdf,Orange,79,88,51,26,68
